-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.488,1.18,0.917,0.97,0.95,1.014,0.93,0.98,0.95,0.934,0.923,0.908,0.82,0.785,0.794,0.793,0.8,0.94,0.97,0.944,0.884,0.98,0.9,0.92,,,,,,,,,,,,
3.3128,3.85405,3.3128,3.21015,3.32213,3.73274,3.87271,3.63942,4.42329,4.38596,4.60477,4.44534,4.58602,4.5954,4.36094,4.22026,4.31404,4.17337,4.18275,4.12303,4.26521,4.15147,3.52869,3.43332,3.08045,3.14721,2.83249,3.02323,2.57499,2.79434,2.35564,2.27205,1.57781,1.69918,2.30367,
0.01125,0.0075,0.0075,0.006,0.0055,0.006,0.0055,0.0055,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0929,0.09408,0.13568,0.10031,0.09149,0.08201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21299,0.15355,0.22537,0.24271,0.24023,0.2229,0.23528,0.22042,0.22537,0.38635,0.32196,0.3393,0.34673,0.495,0.515,0.485,0.51,0.51,0.588,0.425,0.45,0.386,0.385,0.39,0.3425,0.4125,0.35,0.3175,0.2975,0.33,0.3425,0.215,0.185,0.17,0.1625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.52517,0.56316,0.52671,0.50874,0.44572,0.44468,0.3749,0.34887,0.3296,0.35427,0.31616,0.23994,0.22867,0.24048,0.22545,0.15969,0.19476,0.21808,0.15087,0.13579,0.10424,0.17556,0.21259,0.19202,0.22082,0.26735,0.24233,0.23454,0.28556,0.28721,0.30997,0.29626,0.33329,0.36895,0.30668,
1.323,1.315,1.201,1.117,1.085,0.888,0.938,1.008,0.68,0.7155,0.765,0.878,0.738,0.7,0.7,0.50775,0.535,0.602,0.736,0.73,1.026,1.126,1.202,,,,,,,,,,,,,
593.73409,647.38476,696.24006,707.11881,797.77507,815.90632,834.03757,743.38131,714.20035,753.71554,750.05672,748.95908,731.76266,621.99826,685.62933,676.33896,724.64889,750.66193,750.66193,758.09422,712.609,682.60441,624.47052,540.08261,487.57458,434.7665,450.55425,504.46673,437.53824,397.6045,433.22524,467.89163,497.75705,631.01485,591.82138,
8.965,8.05,6.78,6.475,8.985,7.1,7.83,8.015,7.77,7.685,6.725,7.02,8.13,8.065,8.055,8.03,8.84,9.105,8.1,8.09,8.11,8.165,8.815,8.825,8.955,8.63,8.335,,,,,,,,,
0.6375,0.5875,0.5625,0.4875,0.4,0.425,0.4,0.4,0.4875,0.4875,0.375,0.325,0.225,0.1875,0.225,0.175,0.2625,0.3875,0.35,0.425,0.5125,0.65,0.7,0.7,0.9,0.8125,0.7875,0.875,0.9,0.8,0.9375,0.9875,0.9625,0.8875,0.6875,
0.2625,0.1875,0.1625,0.1625,0.3625,0.4125,0.3625,0.304,0.3275,0.325,0.3315,0.375,0.3875,0.3875,0.39,0.355,0.28,0.29,0.335,0.4,0.395,0.465,0.44,0.39,0.37,0.345,0.31,0.335,0.315,0.33,0.325,0.3,0.315,0.315,0.335,
0.39615,0.42091,0.34663,0.39516,0.44567,0.37139,0.39615,0.48232,0.53233,0.44567,0.37139,0.33079,0.35555,0.35852,0.309,0.309,0.46053,0.50757,0.42091,0.42091,0.38377,0.42091,0.49519,0.79231,1.15875,0.98543,,,,,,,,,,
1.82901,1.62056,1.61187,1.66471,1.78414,1.24202,1.39257,1.45843,1.29413,1.36868,1.40632,1.62563,1.60536,1.72117,1.75229,1.92093,1.88185,1.7892,1.79934,1.82322,1.94192,2.0447,2.002,2.01213,2.08234,1.93758,1.87316,1.95567,1.99114,1.85362,1.84855,1.76077,1.82425,1.72501,1.59221,
1.071,1.09263,1.13961,1.13588,1.18063,1.2631,1.21694,1.18137,1.14882,1.13445,1.22299,1.3017,1.29442,1.22601,1.233,1.18169,1.11717,1.2071,1.06481,1.12331,1.15176,1.15888,1.0569,1.06323,1.11262,1.07745,1.08563,1.0979,1.16907,1.13066,1.01801,0.96794,0.96377,0.90703,0.8895,
1.9151,1.89515,1.89515,2.23603,2.3336,2.46166,1.95957,1.89453,2.06528,2.22993,2.12631,2.13471,2.05907,2.12631,2.41626,2.55879,2.71232,2.87864,3.32642,3.41172,3.2326,2.98525,2.5069,2.7356,2.35296,2.48051,2.42553,2.20436,2.16852,2.3567,2.41494,2.77785,2.73305,2.75097,2.89707,
0.4,0.5,0.53,0.49,0.515,0.47,0.4975,0.435,0.37,0.34,0.3,0.28,0.265,0.275,0.39,0.255,0.2525,0.245,0.2225,0.23,0.2175,0.24,0.215,0.215,0.205,0.155,0.1625,0.16,0.17,0.16,0.145,0.145,0.1325,0.13625,0.1375,
0.36444,0.36014,0.38597,0.3891,0.40868,0.46035,0.45687,0.49639,0.54381,0.59598,0.61653,0.62444,0.743,0.83805,0.95777,0.98969,1.14134,1.33141,1.20709,1.19907,1.0146,1.20308,1.34344,1.29531,1.45973,1.31536,1.26376,0.76555,0.99238,0.96807,0.89299,0.56923,0.59533,0.55455,0.57249,
3.12707,3.24082,3.39172,3.41726,3.72834,3.97307,3.94724,4.42627,4.30651,4.33234,4.20789,4.45442,4.37282,4.14722,4.32242,4.31042,4.36562,4.57266,4.59933,4.72055,4.85633,4.69631,4.72783,4.72861,4.71622,4.65677,4.93915,5.0531,5.49896,5.92173,6.11163,5.92673,6.18658,6.47143,6.97115,
0.6675,0.8225,1.02,1.24,1.25,1.3475,1.4175,1.5275,1.675,1.885,2.1,2.32,2.355,2.27,2.115,2.005,1.825,1.885,1.8535,1.8565,1.483,1.833,2.039,1.945,2.012,1.77,2.342,2.129,1.9115,1.615,1.8795,1.752,1.89,2.457,2.255,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
