Date,PMI
2024 Q4,50.3
2024 Q3,51.5
2024 Q2,51.2
2024 Q1,50.3
2023 Q4,47.2
2023 Q3,44.3
2023 Q2,47.1
2023 Q1,47.9
2022 Q4,46.5
2022 Q3,48.4
2022 Q2,54.6
2022 Q1,55.2
2021 Q4,58.1
2021 Q3,57.1
2021 Q2,65.6
2021 Q1,58.9
2020 Q4,55.6
2020 Q3,54.1
2020 Q2,40.7
2020 Q1,47.8
2019 Q4,48.9
2019 Q3,48.3
2019 Q2,49.4
2019 Q1,55.1
2018 Q4,53.1
2018 Q3,53.8
2018 Q2,54.4
2018 Q1,55.1
2017 Q4,58.2
2017 Q3,55.9
2017 Q2,56.7
2017 Q1,54.2
2016 Q4,53.4
2016 Q3,55.4
2016 Q2,50.1
2016 Q1,51
2015 Q4,52.7
2015 Q3,51.5
2015 Q2,52
2015 Q1,54.4
2014 Q4,53.5
2014 Q3,51.6
2014 Q2,57
2014 Q1,55.3
2013 Q4,58.4
2013 Q3,56.7
2013 Q2,51.3
2013 Q1,48.3
2012 Q4,49.1
2012 Q3,48.4
2012 Q2,45.9
2012 Q1,52.1
2011 Q4,47.6
2011 Q3,51.1
2011 Q2,52.1
2011 Q1,57.1
2010 Q4,58
2010 Q3,53.4
2010 Q2,58
2010 Q1,57.2
2009 Q4,51.8
2009 Q3,49.5
2009 Q2,45.4
2009 Q1,39.1
2008 Q4,34.4
2008 Q3,45.9
2008 Q2,50
2008 Q1,51.3
