Date,FTSE ALL Share,FTSE Small Cap Index
1988-01-01,915.84,
1988-02-01,908.08,
1988-03-01,896.75,
1988-04-01,928.19,
1988-05-01,923.52,
1988-06-01,963.01,
1988-07-01,965.18,
1988-08-01,911.17,
1988-09-01,946.27,
1988-10-01,965.54,
1988-11-01,933.45,
1988-12-01,926.59,
1989-01-01,1054.97,
1989-02-01,1042.6,
1989-03-01,1076.15,
1989-04-01,1090.04,
1989-05-01,1091.06,
1989-06-01,1101.68,
1989-07-01,1173.25,
1989-08-01,1207.45,
1989-09-01,1169.55,
1989-10-01,1080.79,
1989-11-01,1138.67,
1989-12-01,1204.7,
1990-01-01,1167.15,
1990-02-01,1122.26,
1990-03-01,1114.94,
1990-04-01,1043.16,
1990-05-01,1154.24,
1990-06-01,1171.28,
1990-07-01,1147.05,
1990-08-01,1051.08,
1990-09-01,962.18,
1990-10-01,992.67,
1990-11-01,1032.11,
1990-12-01,1032.25,
1991-01-01,1036.24,
1991-02-01,1150.01,
1991-03-01,1193.33,
1991-04-01,1202.75,
1991-05-01,1201.85,
1991-06-01,1161.19,
1991-07-01,1235.89,
1991-08-01,1268.62,
1991-09-01,1265.96,
1991-10-01,1238.63,
1991-11-01,1168.95,
1991-12-01,1187.7,
1992-01-01,1227.84,
1992-02-01,1229.84,
1992-03-01,1171.71,
1992-04-01,1282.75,
1992-05-01,1311.79,
1992-06-01,1216.62,
1992-07-01,1143.14,
1992-08-01,1096.99,
1992-09-01,1206.16,
1992-10-01,1256.67,
1992-11-01,1313.02,
1992-12-01,1363.79,
1993-01-01,1364.37,1477.27
1993-02-01,1396.53,1529.16
1993-03-01,1408.07,1548.75
1993-04-01,1388.88,1589
1993-05-01,1403.42,1616.01
1993-06-01,1432.31,1648.24
1993-07-01,1448.76,1653.94
1993-08-01,1537.21,1783.57
1993-09-01,1506.55,1768.13
1993-10-01,1565.37,1805.69
1993-11-01,1556.45,1742.6
1993-12-01,1682.17,1868.68
1994-01-01,1745.95,2050.49
1994-02-01,1675.49,2043.99
1994-03-01,1561.97,1909.97
1994-04-01,1580.44,1943.05
1994-05-01,1501.22,1877.54
